Brand,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
OPPO,5,Pearl White,4.3,12,256,6.7,50,4600,194936.0,11.0,39999.0
SAMSUNG,5,Electric Black,4.3,6,128,6.5,50,6000,30849.0,34.0,15999.0
SAMSUNG,,Nightsky Green,4.3,4,128,6.6,50,6000,16.0,50.0,8499.0
realme,,Rainforest,4.3,8,128,6.72,64,5000,17197.0,12.0,13999.0
SAMSUNG,,Mint,4.6,8,128,6.4,50,4500,3451.0,31.0,54999.0
realme,,Rainforest,4.2,6,64,6.72,64,5000,13205.0,14.0,11999.0
APPLE,,Yellow,4.3,,128,6.1,48,,30849.0,16.0,66999.0
SAMSUNG,5,Smoky Teal,4.5,6,128,6.6,50,6000,3563.0,30.0,13269.0
realme,,Rainy Night,4.4,8,128,6.72,64,5000,442.0,12.0,13999.0
SAMSUNG,5,Cream,4.1,8,256,6.1,50,3900,28398.0,27.0,69999.0
REDMI,5,Coral Purple,4.3,8,256,6.67,200,5100,124699.0,9.0,27999.0
REDMI,,Sunrise Gold,4.3,6,64,6.67,50,5000,217788.0,36.0,11999.0
Samsung,5,Graphite,3.9,8,256,6.4,12,4500,15276.0,54.0,33999.0
SAMSUNG,,,4.2,,,,,800,50496.0,7.0,2499.0
Kechaoda,,,4.3,,,0.66,,300,259.0,19.0,1044.0
MOTOROLA,5,Mint Green,4.4,12,256,6.5,50,6000,10020.0,27.0,15999.0
REDMI,5,Fusion Purple,4.3,12,512,6.67,200,5000,12377.0,5.0,35999.0
Nothing,,2,4.2,12,512,6.7,50,4700,4251.0,30.0,41999.0
Google,,Obsidian,4.4,8,128,6.3,50,4270,10020.0,25.0,44999.0
realme,,Feather Black,4.4,6,128,6.74,50,5000,10020.0,19.0,10499.0
Nothing,,2,4.6,12,256,6.7,50,4700,59225.0,25.0,40999.0
Nothing,,2,4.3,12,256,6.7,50,4700,,27.0,39999.0
APPLE,,Purple,4.0,,128,6.7,12,,,17.0,65999.0
OPPO,5,Rock Grey,4.4,8,256,6.7,50,5000,2860.0,21.0,31999.0
OPPO,5,Pearl White,4.0,12,256,6.7,50,4600,19788.0,11.0,39999.0
OnePlus,5,Aqua Surge,4.3,12,256,6.7,50,5000,1783.0,3.0,27907.0
Kechaoda,,,4.5,,16,0.66,,800,10698.0,30.0,975.0
realme,5,Astral Black,3.9,12,256,6.7,100,5000,9292.0,9.0,27999.0
OnePlus,5,Galactic Silver,4.5,8,128,6.7,50,5000,10698.0,22.0,39900.0
